time	major_opr	minor_opr	process_name	pid	tid	parent_pid	buffer_length	entropy_bit_based	entropy_byte_based	file_name	is_rename	is_delete	file_size	offset
133349321644243107	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644243188	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644243805	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644243857	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644245289	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644246236	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve.LOG1	0	0	0	0
133349321644248385	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve.LOG2	0	0	0	0
133349321644315228	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644315271	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644315500	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644315519	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644317422	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644317444	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644317618	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644317637	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644318878	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644318899	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644319073	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644319090	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
133349321644320275	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\appcompat\Programs\Amcache.hve	0	0	0	0
